"Contractor","Case Count"
"MOLDTELECOM S.A.",735
"CIA ASITO S.A.",569
"B.C. MOLDOVA-AGROINDBANK S.A.",323
"MOLDASIG S.A.",304
"Î.M. MOLDCELL S.A.",299
"BANCA DE ECONOMII S.A.",208
"Î.S. CADASTRU",152
"TERMOELECTRICA S.A.",90
"MAGDAS.R.L.",88
"NEGA S.R.L.",79
"PLANIFICARE S.R.L.",76
"SLAVENA LUX S.R.L.",73
"S.R.L. VATRA",65
"Î.M. C.I.A. TRANSELIT S.A.",61
"C.A. DONARIS VIENNA INSURANCE GROUP S.A.",49
"F.P.C. ROGOB S.R.L.",48
"CATOL LUX S.R.L.",45
"Î.S. Servicii Pază a MAI",40
"C.A. ASTERRA GRUP S.A.",40
"OLIMP S.R.L.",37
"VEC S.R.L.",36
"TEHNICA S.R.L.",33
"S.R.L. CONSTRUCTORUL",33
"OLMOSDON S.R.L.",31
"VOLTA S.R.L.",31
"VAD S.R.L.",29
"MOLDPRESA S.A.",29
"C.C. AQUATRADE S.R.L.",28
"TELEMAR S.R.L.",28
"MOLDTRANS-TUR S.R.L.",28
"ENERGIA SRL",28
"LORINELA GRUP S.R.L.",28
"Î.M. ORANGE MOLDOVA S.A.",28
"DITA ESTFARM S.R.L.",27
"EXCLUSIV S.R.L.",24
"DITA ESTFARMS.R.L.",23
"INTECO MEDIA GRUPS.R.L.",22
"INTECO MEDIA GRUP S.R.L.",22
"Î.C.S. BEMOL RETAIL S.R.L.",21
"S.R.L. IMEXAGRO",21
"Î.S. VAMSERVINFORM",20
"""Moldpresa Grup""",18
"MOLDPRESA GRUP S.R.L.",18
"AGROPIESE TGR GRUP S.R.L.",18
"CONSTRUM S.R.L.",17
"F.C.P. SOLDI S.R.L.",17
"ELPO S.R.L.",17
"DAMICOM S.R.L.",17
"Î.M. ROMPETROL  MOLDOVA S.A.",16
"JUSTSTUDIUMANIMA S.R.L.",16
"Î.M. TIREX PETROL S.A.",15
"Compania ASITO S.A.",15
"FARMACIA FAMILIEI S.R.L.",15
"Î.M. AUTO MALL S.R.L.",15
"LITARCOM S.R.L.",14
"BICOMPLEX S.R.L.",14
"MARSTEL GRUP S.R.L.",13
"SOVERANG S.R.L.",13
"TIRAMISA S.R.L.",13
"FLORENI S.A.",12
"TINA S.R.L.",12
"DIO-PLUS S.R.L.",12
"ORIZONTUL S.R.L.",12
"Serviabil S.R.L.",11
"BIROVITS S.R.L.",11
"F.P.C. MGM S.R.L.",11
"Casa de Comerţ VITA S.R.L.",11
"Faclia S.R.L",11
"PPE S.R.L.",11
"AIR MOLDOVA Î.S.",10
"F.P.C. CHETON GRUP S.R.L.",10
"AMTA-TIS S.R.L.",10
"EXIMOTOR S.A.",9
"Î.C.S. PETROM-MOLDOVA S.A.",9
"MITRA-GRUP S.A.",9
"POLICONTRACT S.R.L.",9
"ELIO DESIGN S.R.L.",9
"ALIVALDA S.R.L.",9
"Î.M.R.E.I. LUMTEH",8
"SABRIS COM S.R.L.",8
"Î.C.S. DELAMODE MOLDOVA S.R.L.",8
"S.C. ELAN POLIGRAF S.R.L.",8
"S.H. HENDRIX  BAIL S.R.L.",8
"TETIS INTERNATIONAL CO S.R.L.",8
"AP SISTEM S.R.L.",8
"Î.M. AGROPIESE TGR GRUP S.R.L.",8
"FLERIXON S.R.L.",8
"UNICART-PRIM S.R.L.",8
"SOLEI-TURISM S.R.L.",7
"OAZA S.R.L.",7
"Casa de Odihnă NISTRU S.R.L.",7
"S.R.L. EUROLUMINA",7
"SANGRIDIV S.R.L.",7
"SEDIORUS S.R.L.",7
"ALGU CONSTRUCT S.R.L.",7
"S.R.L. EXCONS GRUP",7
"Serviabil",6
"VICCON S.A.",6
"S.C. ALIOCOR LT S.R.L.",6
"SERGIU PLUS NICOLAE S.R.L.",6
"AUTO TYRES S.R.L.",6
"UNIVERSCONS S.R.L.",6
"ANSERGLOB S.R.L.",6
"POLIS S.R.L.",6
"ARSENAL S.R.L.",6
"Î.C.S. FARMINA S.R.L.",6
"TRANZIT S.R.L.",6
"LISMEDFARM S.R.L.",6
"PACIFIC MOTORS MOLDOVA S.R.L.",6
"VisPas şi Co S.R.L.",6
"S.C. MEDIA SHOW GRUP S.R.L.",6
"INCONARM S.A.",5
"S.P.B. CONSTRUCTORUL Î.S.",5
"Î.M. GRAWE CARAT Asigurări S.A.",5
"EAST-AUTO-LADA S.R.L.",5
"S.C. IMONA GRUP S.R.L.",5
"MOLDCARBUNE S.R.L.",5
"ICAM S.A.",5
"VICTIANA S.R.L.",5
"COMITEK S.R.L.",5
"S.C. IMUNOTEHNOMED S.R.L.",5
"BANTCARAD S.R.L.",5
"PRIDE SYSTEM S.R.L.",5
"UTILTRANS CONSTRUCT S.R.L.",5
"ELECTROMOTOR-SERVICE S.R.L.",5
"ROCARP CONSTRUCT S.R.L.",5
"TAROL-DD S.R.L.",5
"MEDIASUCCES S.R.L.",5
"BEVVIS S.R.L.",5
"METALICA-ZUEV S.R.L.",5
"Continent S.R.L.",5
"S.R.L. GLORIA-QVARC",5
"MAXIMUM AUTOS.R.L.",4
"ARTMET S.A.",4
"LUSMECON S.A.",4
"LANGERAS.R.L.",4
"TEHOPTIMED S.A.",4
"EDILITATE S.A.",4
"RADU S.R.L.",4
"Î.M. XAMINAR S.R.L.",4
"INJPROIECT S.R.L.",4
"AUTOFRAME-FM S.R.L.",4
"LANGERA S.R.L.",4
"STRENGTH S.R.L.",4
"BELSTIL-MOBILA S.R.L.",4
"LAUTRA-ANGRO S.R.L.",4
"S.C. PLASTCOMPLEX S.R.L.",4
"LINCONS S.R.L.",4
"GAZCON GRUP S.R.L.",4
"NEOMATRIX S.R.L.",4
"RULTEHCOM S.R.L.",4
"MAXIMUM AUTO S.R.L.",4
"INSTALVEST GRUP S.R.L.",4
"Î.M. RIHPANGALFARMA S.R.L.",4
"IMPICAR PLUS S.R.L.",4
"TEHNO-TREND S.R.L.",4
"S.C. PEISAJ - ART S.R.L.",4
"VITASISTEM S.R.L.",4
"DINOCTA S.R.L.",4
"S.R.L. ELECTROSTRAT",4
"RUSPIN GRUP SRL",4
"Î.M. ACCENT ELECTRONIC S.A.",3
"AUGUR-PERLA S.A.",3
"ITALTEH S.R.L.",3
"I.M. BECOR S.R.L.",3
"S.C. DVS SERVICE S.R.L.",3
"BAGUETTE S.R.L.",3
"ACVILIN-GRUP S.R.L.",3
"S.C. CARTNORD S.R.L.",3
"S.C. QUO VADIS S.R.L.",3
"GHIMNIC S.R.L.",3
"Î.M. VINAMEX S.R.L.",3
"ACIT-TRANS S.R.L.",3
"ALIMCONSTRUCT GRUP S.R.L.",3
"TEHELECTRO-SV S.R.L.",3
"LOZMANGAL-GRUP S.R.L.",3
"IMPERIAL-SECURITATE S.R.L.",3
"S.C. CLIMATEC S.R.L.",3
"AUTOPROGRESIV-SERVICE S.R.L.",3
"SONDICOM S.R.L.",3
"INTERVETCOM S.R.L.",3
"VION-IMPEX S.R.L.",3
"BONS OFFICES S.R.L.",3
"BELNIS S.R.L.",3
"S.R.L. STIL BIROTIC",3
"S.R.L. DISTRIMED",3
"PANONIMEDIA S.R.L.",3
"AUTO-PREZENT S.R.L.",3
"JUSTAR S.R.L.",3
"BIMCON-SERVICE S.R.L.",3
"S.C. MEDIA MONITORING S.R.L.",3
"S.C. IVLEVI S.R.L.",3
"PRODENT-COM S.R.L.",3
"S.A. INCOMLAC",2
"S.R.L.”Gloria”",2
"DAAC-AUTOS.R.L.",2
"CEBAN DINU VASILE",2
"HOTELUL ZAREA Î.S.",2
"RESTAURATORUL S.A.",2
"NINA & ASNS.R.L.",2
"AUTOSHOCK SVS.R.L.",2
"REZERVCOM Î.S.",2
"TANASIEV V Î.I.",2
"DAAC-AUTOSPORT S.R.L.",2
"DENIADI S.R.L.",2
"S.R.L. LUKOIL-Moldova",2
"LIFTSERVICE Î.M.",2
"STANDELEV S.R.L.",2
"MOLDAN-SERVICE S.R.L.",2
"BERCUT-GRUP S.R.L.",2
"Î.M. DELMAR CONSTRUCTION S.R.L.",2
"VILA VERDE S.R.L.",2
"S.C. REBDACONS S.R.L.",2
"PIROTERM-SERVICE S.R.L.",2
"AUTOSHOCK SV S.R.L.",2
"DAAC-AUTO S.R.L.",2
"S.C. MEGAVIL GRUP S.R.L.",2
"STEVIPROD S.R.L.",2
"EXPRESMARKET S.R.L.",2
"GEOTER-COM S.R.L.",2
"CONSIT PRO S.R.L.",2
"VARINCOM S.R.L.",2
"S.R.L. TAMIR",2
"S.C. OZUN-CONS S.R.L.",2
"Î.M. ANCARO-S.V. S.R.L.",2
"S.C. FORSBETA S.R.L.",2
"ECOTEHLIDER S.R.L.",2
"S.C. CRISTRANSCOM S.R.L.",2
"TROFANATA S.R.L.",2
"SIMCON-LUX S.R.L.",2
"TINCOM S.R.L.",2
"BICOMPLEX-CONSTRUCT S.R.L.",2
"SIREXTON S.R.L.",2
"ADVANTIX S.R.L.",2
"CREDOPRIM S.R.L.",2
"BIROTIX-COM S.R.L.",2
"TACERO S.R.L.",2
"VADINA S.R.L.",2
"MOLDCABLU S.R.L.",2
"MEDEFERENT GRUP S.R.L.",2
"GLORINAL IMOBIL S.R.L.",2
"S.C. GRAND PREMIUM S.R.L.",2
"NOVA-IMPRIM S.R.L.",2
"RAP PHARMA INTERNATIONAL S.R.L.",2
"S.C. AVATARUS S.R.L.",2
"SARVN S.R.L.",2
"DAAC HERMES S.A.",1
"Î.M. FARMACO S.A.",1
"ORMOTEX S.A.",1
"LACTIS S.A.",1
"DASTIC MIHAI Î.I.",1
"C.A. VICTORIA ASIGURĂRI S.A.",1
"COOPERATIVA DE CONSUM DIN NISPORENI",1
"MAHU VASILE ALEXANDRU",1
"VERILARPROIECT S.A.",1
"VETUGA-ZEMIFS.R.L.",1
"AVANTMOTOR-COMS.R.L.",1
"BTS PROS.R.L.",1
"AV-MACROCOMS.R.L.",1
"S.R.L.EUROSTIL CONSTRUCT",1
"AGROINDPROIECT S.A.",1
"S.A. UNITA",1
"AGROVIN BULBOACA S.A.",1
"LEMNAR S.A.",1
"NICA S.R.L.",1
"RUTADOR S.R.L.",1
"S.A. MAGISTRALA",1
"DEZMED-CV S.R.L.",1
"POWER TEAM S.R.L.",1
"AUGUSTELIFT S.R.L.",1
"AV-MACROCOM S.R.L.",1
"Farmacia RECETA FARM S.R.L.",1
"S.C. ELECTEH S.R.L.",1
"OLEMUS GRUP S.R.L.",1
"S.C. ACAR-CONSTRUCT S.R.L.",1
"BTS PRO S.R.L.",1
"CLIMATSISTEM S.R.L.",1
"ARTPREST GRUP S.R.L.",1
"MOBIGRUP ANTURAJ S.R.L.",1
"AGENT-TURA S.R.L.",1
"S.C. RUMEON S.R.L.",1
"CREIT S.R.L.",1
"Î.C.S. NITECH S.R.L.",1
"S.C. ILMAVA S.R.L.",1
"GRICONS-IMPEX S.R.L.",1
"UNIDENT-AS S.R.L.",1
"UNIVERSINJ S.R.L.",1
"RODICONS S.R.L.",1
"ANODILIA S.R.L.",1
"MOLDSERCON S.R.L.",1
"SMAD-GRUP S.R.L.",1
"AUTOCONCORD S.R.L.",1
"TOM-MIN GRUP S.R.L.",1
"DIGHIVA S.R.L.",1
"PROCRIOMAX S.R.L.",1
"S.C. OMNICOM S.R.L.",1
"TETLEM S.R.L.",1
"VITCOS-COM S.R.L.",1
"JUSTAR-TEHNO S.R.L.",1
"FLORENTINA CONSTRUCT S.R.L.",1
"CONMETAL-COM S.R.L.",1
"MAGDA S.R.L.",1
"DORTEHTRANS S.R.L.",1
"S.R.L. ARTSINTEZ MEDIA",1
"STEJAUR S.A.",1
"BUSINESSCOM STAR S.R.L.",1
"LINIA & CO S.R.L.",1
"S.C. DAXEN-COM S.R.L.",1
"S.R.L. AUTORCOM GRUP",1
"SMART MEDICAL S.R.L.",1
"DELIUS S.R.L.",1
"TRANSENCA-TUR S.R.L.",1
"PRODLUXCONS S.R.L.",1
"F.P.C. ANGROCONSCOM S.R.L.",1
"GROVEN GRUP S.R.L.",1
"ODISEU S.R.L.",1
"HIDROCHIM S.R.L.",1
"DIVIMEX GRUP S.R.L.",1
"S.C. BOGOS-PRIM S.R.L.",1
"DIVABONA S.R.L.",1
"ARSENAL-GRUP S.R.L.",1
"BEAX COM S.R.L.",1
"MOBIASTRUM S.R.L.",1
"S.R.L. ECOPLANTERA",1
"EUROPARC S.R.L.",1
"GENTILOM S.R.L.",1
"S.C. INSTEL-PRIM S.R.L.",1
"Î.C.S. O.P. ARGUS-S S.R.L.",1
"S.R.L. TAVICONST GRUP",1
"MOLDAUDITING S.R.L.",1
"S.C. GLAVIRUX S.R.L.",1
"Î.C.S. NOBIL-CLUB S.R.L.",1
"TARGUS IMPEX S.R.L.",1
"PROGUS S.R.L.",1
"SANTEH-TRANS S.R.L.",1
"Î.M. APRODIM S.R.L.",1
"ADG AUTO TRANS S.R.L.",1
"NANDOS S.R.L.",1
"S.R.L. TOTAL RADIO",1
"S.R.L. EXIVLADIM",1
"COMPLEXUL DE EDITURI AL BISERICII ORTODOXE DIN MOLDOVA S.R.L.",1
"S.C. EUROPLAST S.R.L.",1
"STUDENT TRAVEL S.R.L.",1
"MEDEXIM S.R.L.",1
"S.C. UNIMOND - PRO S.R.L.",1
"CHIGHEON S.R.L.",1
"S.C. GETARCON GRUP S.R.L.",1
"VIGI S.R.L.",1
"F.C.P. CORNA S.R.L.",1
"AUTOSPACE S.R.L.",1
"S.C. VLADOS-COM S.R.L.",1
"S.C. GAL TRANSERVICE S.R.L.",1
"CVADRANT SRL",1
"S.R.L. MC-CONSULTING",1
"Î.C.S. TV MR MLD S.R.L.",1
"NIROM-ROZ S.R.L.",1
"S.R.L. AFLUX-PRIM",1
"CINCI MESTERI S.R.L.",1
"LIDUMION-CONSTRUCT S.R.L.",1
"MAXLINIE-COMP S.R.L.",1
"EMS-AC GRUP S.R.L.",1
"S.R.L. ALTERNOSFERA",1
"S.R.L. REXART",1
"CARTDIDACT S.R.L.",1
"EUROSERVICES S.R.L.",1
"S.C. AGRODOR-SUCCES S.R.L.",1
"S.R.L. SELEXTEH-SV",1
"BRAMIUS S.R.L.",1
"FLORNUC S.R.L.",1
"S.R.L. CLEMANTIN",1
"G.C.C. - SECURITATE S.R.L.",1
"OLIMPUS-85 S.R.L.",1
"S.R.L. LEOSAD-PLUS",1
"S.R.L. CENTEL PRIM",1
"ALPAS-COM S.R.L.",1
"S.R.L. EUROSTIL CONSTRUCT",1
"S.C. PROMO-PROFIT S.R.L.",1
"SUNNY TRAVEL S.R.L.",1
"TONERSISTEM S.R.L.",1
"PRELUDE S.R.L.",1
"S.C. SANGALIMED S.R.L.",1
"EUROTOP-PLUS S.R.L.",0
"Î.C.S. FRIGOCLIMA S.R.L.",0
"INSTITUTUL DE PROIECTĂRI DE STAT IPROCOM",0
"FPC AGENTINTER S.R.L.",0
"S.C. MSA GRUP S.R.L.",0
"Î.M. ASCENDIS CONSULTING S.R.L.",0
"PRIMEX-COM S.R.L.",0
"AMARFII ION VASILE",0
"PRECITEST-COM S.R.L.",0
"GEMENII-SÎRBU О.I.",0
"Î.M. CENTRUL DE ODIHNĂ PENTRU COPII ŞI TINERET-PRIETENIA",0
"S.C. PROGAMACONS S.R.L.",0
"INFOSOFTEH S.R.L.",0
"CELERITAS S.R.L.",0
"S.C. SANEX-COMERŢ S.R.L.",0
"TIPOGRAFIA CENTRALĂ О.S.",0
"Î.C.S. ORTONET S.R.L.",0
"S & S CONSTRUCT S.R.L.",0
"S.C. DINA-COCIUG S.R.L.",0
"DELTA CONSTRUCT S.R.L.",0
"CERVAC TATIANA О.I.",0
"Ecochimie S.R.L.",0
"BAZA AUTO A CANCELARIEI DE STAT A REPUBLICII MOLDOVA",0
"LIFTSERVICE О.M.",0
"Î.S. DIRECŢIA SERVICII PENTRU CORPUL DIPLOMATIC",0
"F.C.P.C. DATACONTROL S.R.L.",0
"S.C. CNG CAR S.R.L.",0
"S.C. MEGACON SERVICE S.R.L.",0
"Î.M. LOKMERA S.R.L.",0
"S.R.L. CREATIV MEDIA",0
"S.C. RILICI - COMPANI S.R.L.",0
"URECOOP DIN STRĂŞENI",0
"S.A. DRUMURI-CIMIŞLIA",0
"S.C. LEMFABRIC S.R.L.",0
"DIGITAL VIDEO S.R.L.",0
"Î.M. GBG-MLD S.R.L.",0
"RĂDOP-OPT S.R.L.",0
"S.C. BASTER-MEDIA S.R.L.",0
"Î.C.S. TEHGAZ GRUP S.R.L.",0
"S.R.L. TIGRII DE VEGHE",0
"Î.C.S. HMI-HIGIMED INDUSTRIE S.R.L.",0
"INTERMED S.R.L.",0
"Farmacia CENTROFARM S.A.",0
"DEZFARMTEH S.R.L.",0
"Î.M. CRISTAL CLEAN S.R.L.",0
"GARANT PREST S.R.L.",0
"S.C. LUPU-COM SRL",0
"Plagiat-Sistem Antiplagiat prin Internet SRL",0
"REMAUTO GRUP S.R.L.",0
"I.S.P. RURALPROIECT",0
"M-INTER-FARMA S.A.",0
"VALDCONGRUP S.R.L.",0
"POŞTA MOLDOVEI Î.S.",0
"S.C. RGP GRUP S.R.L.",0
"INTEXNAUCA S.A.",0
"S.C. PROEUROCONSULT S.R.L.",0
"LINGVISTICA S.R.L.",0
"RÎUL VECHI S.R.L.",0
"INTERMED-SERVICE S.R.L.",0
"Î.C.S. MEDIA IMAGE S.R.L",0
"CRISTEF TURTRANS S.R.L.",0
"EDITURA UNIVERSUL Î.S.",0
"PROCONIMPEX S.R.L.",0
"TELECOM-PAGER S.R.L.",0
"1.	S.C. „Silva Trading” S.R.L.",0
"SARDIS EXIM S.R.L.",0
"NISTRU LADA S.A.",0
"NORD-UNIVERSAL S.R.L.",0
"CRIO S.A.",0
"Î.M. NATUSANA S.R.L.",0
"S.R.L. METROMPAŞ",0
"NEOTEC S.R.L.",0
"GVP  MOLDOVA S.R.L.",0
"IMPRESO-PRINT S.R.L.",0
"S.C. NM CONSTRUCT S.R.L.",0
"S.C. INSTALCONSTRUCT S.R.L.",0
"S.C. MELITAX-GRUP S.R.L.",0
"TECTERM S.R.L.",0
"CURĂŢENIE SAN-PROF S.R.L.",0
"URALIS S.R.L.",0
"S.R.L. PRIMAVIA-EXIM",0
"Giesecke & Devrient GmbH",0
"OFICIU  AMG S.R.L.",0
"SILVA TRADING SRL",0
"Î.I. PAVLUSI RIMA",0
"S.R.L. PROTUVIM-AGRO",0
"TIPOGRAFIA ACADEMIEI DE ŞTIINŢE A MOLDOVEI Î.S.",0
"PROFTEHGRUP S.R.L.",0
"Î.M. VIVAMED INTERNATIONAL S.R.L.",0
"EUROLIFTMONTAJ S.R.L.",0
"G.P.N. S.R.L.",0
"NICOLAEV CONSTANTIN Î.I.",0
"F.P.C. SOGNO S.R.L.",0
"CEBAN SERGIU VICTOR",0
"O.P. ROZGO GRUP S.R.L.",0
"Î.C.S. PERFECT INTERNATIONAL S.R.L.",0
"HUMANLAB S.R.L.",0
"PROFILAXIE-STOVBUN Î.I.",0
"MELN-GRUP S.R.L.",0
"Î.C.S. LAPMOL S.R.L.",0
"STUDIUM PLUS S.R.L.",0
"OGNES-NORD S.R.L.",0
"CURAT LUX S.R.L.",0
"DELEU-DELEV Î.I.",0
"UNIVERSCOM S.A.",0
"SECURITATE FGM S.R.L.",0
"CONSULTING & MANAGEMENT AGENCY S.R.L.",0
"S.R.L. TORENT PLUS",0
"SRL ""Canindsport",0
"S.C. ROLVIT-ND S.R.L.",0
"Î.C.S. LUKOIL-MOLDOVA S.R.L.",0
"S.C. NOUCONST S.R.L.",0
"INCERCOM О.S.",0
"Î.I. DICUSAR VEACESLAV",0
"S.C. DAAC SYSTEM INTEGRATOR S.R.L.",0
"SERVICIUL ASISTENŢĂ BENEFICIARI LA OBIECTELE SOCIALE О.S.",0
"INFOSAFE S.R.L.",0
"S.R.L. PASCOLINA",0
"Î.M. DELTA-MEDICA S.R.L.",0
"NIBOL BRIO S.R.L.",0
"FPC ESCULAP-FARM S.R.L.",0
"ACM - MUNCEŞTI S.R.L.",0
"Î.M. DECAFARM S.R.L.",0
"S.C. LYCEUM S.R.L.",0
"DELMIX-PRIM S.R.L.",0
"S.R.L. MARSHARCON",0
"BIOSISTEM MLD S.R.L.",0
"P.P. OFICIU-SERVICE S.R.L.",0
"S.C. IGC-CONSTRUCT S.R.L.",0
"BUSELI-M S.R.L.",0
"AVANTMOTOR-COM S.R.L.",0
"Î.I. SNEJANA CEBOTARI",0
"S.C. SELINIC - CONS S.R.L.",0
"Institutul de Geodezie, Prospecţiuni Tehnice şi Cadastru INGEOCAD Î.S.",0
"EUROGALEX PRIM S.R.L.",0
"S.R.L. STAŢIUNEA BALNEOCLIMATERICĂ CODRU",0
"AERO PREMIER TUR S.R.L.",0
"S.C. EUROPRES S.R.L.",0
"DEBRA STUDIO DESIGN S.R.L.",0
"PROTECŢIA S.A.",0
"Firma ILP SRL",0
"S.C. ALUSAR-PLAST S.R.L.",0
"S.C. ELINATCONS S.R.L.",0
"S.C. FAINA LUMINA S.R.L.",0
"TINICHIGIU S.R.L.",0
"ATRACTIV INVEST S.R.L.",0
"S.C. MAVITEX-CONS S.R.L.",0
"CONSAR-PRIM S.R.L.",0
"ETERNCONSTRUCT S.R.L.",0
"MARION-PLUS S.R.L.",0
"S.R.L. VERMILION",0
"Î.C.S. EUROPEAN ELECTRICAL EQUIPMENT E.NEXT S.R.L.",0
"CAMELON-CONS S.R.L.",0
"GRAFIC  DESIGN S.R.L.",0
"FABI & LINA S.R.L.",0
"UNICOMPRO S.R.L.",0
"LIFE MED S.R.L.",0
"S.C. RITUS-AV S.R.L.",0
"FABRICA DE PÎINE DIN ORHEI S.A.",0
"Î.C.S. BM TECHNOTRADE S.R.L.",0
"LIMANI-GRUP S.R.L.",0
"SARCO - SERVICE S.R.L.",0
"Î.M. 5AQ INVEST S.R.L.",0
"SC ""MOBILIS"" SRL",0
"LABROMED LABORATOR S.R.L.",0
"PRESSINFORM-CURIER S.R.L.",0
"TIPOGRAFIA CENTRALĂ Î.S.",0
"FORS-COMPUTER S.R.L.",0
"SALTICA-LUX S.R.L.",0
"F.P.C. SANRADO S.R.L.",0
"WEST BUY SRL",0
"S.R.L. SANMEDICO",0
"Reprezentanţa din Moldova a Companiei FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH",0
"V.COLUN Î.I.",0
"FRANZELUŢA S.A.",0
"FAINA ANDREI ALEXANDRU",0
"Î.M. ELODI - FARM S.R.L.",0
"S.C. VOLTOZAR S.R.L.",0
"GULEOST S.R.L.",0
"TRIUMF-MOTIV S.R.L.",0
"CENTRUL RESURSELOR INFORMAŢIONALE DE STAT ""REGISTRU"" Î.S.",0
"PAVEL GHEORGHE GHEORGHE",0
"SIMCOMTEX S.R.L.",0
"S.C. BIOTEHDESIGN S.R.L.",0
"DANOVA-PRIM S.R.L.",0
"S.C. ARTMOBILA S.R.L.",0
"ECHIPAMED-PLUS S.R.L.",0
"S.C. XPERT PC S.R.L.",0
"SANFARM-PRIM S.A.",0
"STAR TEHNO ENGINEERING S.R.L.",0
"O.P. MEDIA SECURITATE GRUP S.R.L.",0
"AQUA-PRUT S.A.",0
"ATTRIBUTUM S.R.L.",0
"StarNet Soluţii S.R.L.",0
"GOLIAT-VITA S.R.L.",0
"S.C. FIDEL GRUP S.R.L.",0
"NIPETGAL S.R.L.",0
"Î.C.S. CODRU HOSPITALITY S.R.L.",0
"SRL Adrika ",0
"S.C. ESC - PUR S.R.L",0
